# name:     beta-MnO_2  (pyrolusite?) cassiteriFeff8L (EXAFS)       0.1      
# formula:  MnO_2
# sites:    Mn1,O1
# refer1:   wyckoff vol 1, chapter IV, p 251
# refer2:
# schoen:   D_4h^14 (?)
# notes1:   cassiterite, beta-MnO_2
# notes2:
# notes3:
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=25 Rmt= 1.191 Rnm= 1.304 K  shell
# Pot 1 Z=25 Rmt= 1.194 Rnm= 1.312
# Pot 2 Z= 8 Rmt= 0.976 Rnm= 1.071
# Gam_ch=1.193E+00 H-L exch
# Mu= 8.963E-02 kf=2.351E+00 Vint=-2.097E+01 Rs_int= 1.543
# PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      2.00     2   1.8775
#           2       0.00000    196.90      4.00     2   1.8910
#           3       0.00000     43.25      2.00     2   2.8710
#           4       0.00000      9.80      4.00     3   3.1219
#           5       0.00000     32.71     16.00     3   3.2166
#           6       0.00000      7.65      4.00     3   3.3265
#           7       0.00000     15.32      8.00     3   3.3265
#           8       0.00000     52.60      4.00     2   3.3433
#           9       0.00000    114.20      8.00     2   3.4239
#          10       0.00000     49.39      4.00     2   3.4304
#          11       0.00000     24.77      8.00     3   3.5962
#          12       0.00000     24.82      8.00     3   3.5962
#          13       0.00000     16.67      2.00     3   3.7550
#          14       0.00000     17.87      2.00     4   3.7550
#          15       0.00000      6.26      2.00     4   3.7550
#          16       0.00000      7.02      4.00     4   3.7685
#          17       0.00000      7.02      4.00     4   3.7685
#          19       0.00000     32.51      4.00     3   3.7820
#          20       0.00000     34.68      4.00     4   3.7820
#          21       0.00000     12.17      4.00     4   3.7820
#          22       0.00000      4.79      4.00     4   3.7820
#          24       0.00000     71.61      8.00     2   3.9049
#          25       0.00000     21.36     16.00     3   3.9495
#          26       0.00000     21.47     16.00     3   3.9931
#          28       0.00000      9.22      8.00     3   4.0895
#          29       0.00000     13.17      8.00     3   4.0895
#          30       0.00000     30.97     16.00     3   4.2236
#          31       0.00000      6.31     16.00     3   4.3291
#          32       0.00000     14.07     16.00     3   4.3291
#          33       0.00000     13.69      2.00     2   4.3394
#          34       0.00000     33.93      4.00     3   4.3394
#          35       0.00000     20.92      2.00     4   4.3394
#          36       0.00000      6.66      4.00     4   4.3529
#          37       0.00000      7.46      8.00     3   4.3726
#          38       0.00000     30.72      4.00     2   4.3960
#          39       0.00000     52.61      8.00     2   4.4068
#          40       0.00000     25.23      4.00     2   4.4790
#          41       0.00000     82.06     16.00     3   4.4813
#          42       0.00000     14.72     16.00     3   4.4854
#          43       0.00000      5.32      8.00     4   4.5422
#          44       0.00000     13.17      8.00     4   4.5422
#          45       0.00000      7.09      8.00     4   4.5422
#          46       0.00000      5.29      8.00     4   4.5557
#          47       0.00000     13.15      8.00     4   4.5557
#          48       0.00000     37.05      8.00     4   4.5557
#          51       0.00000      5.28      8.00     4   4.5574
#          52       0.00000      5.01     16.00     3   4.6031
#          53       0.00000     17.38     16.00     3   4.6031
#          54       0.00000     13.06      8.00     3   4.6205
#          55       0.00000     26.50      8.00     3   4.6205
#          56       0.00000     18.72      8.00     3   4.6205
#          58       0.00000      4.33      8.00     4   4.7620
#          59       0.00000      6.16      8.00     4   4.7620
#          60       0.00000      6.36      4.00     4   4.7620
#          61       0.00000      9.97      4.00     4   4.7620
#          63       0.00000      4.23      8.00     4   4.7620
#          64       0.00000     10.51      8.00     4   4.7620
#          65       0.00000      8.45     16.00     4   4.7754
#          66       0.00000      6.82      8.00     3   4.8084
#          67       0.00000      6.03      8.00     3   4.8084
#          68       0.00000      8.38      8.00     3   4.8084
#          70       0.00000      7.95      8.00     3   4.8271
#          71       0.00000      4.49      8.00     4   4.8271
#          72       0.00000      9.56      8.00     4   4.8271
#          74       0.00000      4.25      8.00     3   4.8594
#          75       0.00000      7.11     16.00     3   4.8609
#          76       0.00000     15.83     16.00     3   4.8609
#          78       0.00000      7.77     16.00     4   4.9218
#          80       0.00000      5.61     16.00     4   4.9353
#          81       0.00000     13.63     16.00     4   4.9353
#          82       0.00000      7.35     16.00     3   4.9565
#          83       0.00000     23.23     16.00     3   4.9839
#          84       0.00000      8.17      8.00     4   4.9994
#          86       0.00000      9.82      8.00     5   4.9994
#    74/  81 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
     0.0500   -4.728219E-01  1.080805E+00 -4.527855E-01
     0.1000   -4.681833E-01  1.081142E+00 -4.478682E-01
     0.1500   -4.542067E-01  1.082118E+00 -4.331575E-01
     0.2000   -4.400624E-01  1.083025E+00 -4.184306E-01
     0.2500   -4.162405E-01  1.084456E+00 -3.939343E-01
     0.3000   -3.919960E-01  1.085702E+00 -3.693970E-01
     0.3500   -3.575782E-01  1.087153E+00 -3.351518E-01
     0.4000   -3.224601E-01  1.088246E+00 -3.008286E-01
     0.4500   -2.767401E-01  1.089252E+00 -2.568803E-01
     0.5000   -2.301534E-01  1.089677E+00 -2.128152E-01
     0.5500   -1.727301E-01  1.089639E+00 -1.591920E-01
     0.6000   -1.145588E-01  1.088756E+00 -1.054150E-01
     0.6500   -4.596999E-02  1.086915E+00 -4.230664E-02
     0.7000    2.274565E-02  1.083937E+00  2.098582E-02
     0.7500    1.007734E-01  1.079536E+00  9.348492E-02
     0.8000    1.776151E-01  1.073688E+00  1.661891E-01
     0.8500    2.615437E-01  1.065921E+00  2.479000E-01
     0.9000    3.421379E-01  1.056396E+00  3.298202E-01
     0.9500    4.263918E-01  1.044474E+00  4.205209E-01
     1.0000    5.043373E-01  1.030500E+00  5.114134E-01
     1.0500    5.814085E-01  1.013679E+00  6.108487E-01
     1.1000    6.486071E-01  9.945528E-01  7.104296E-01
     1.1500    7.096661E-01  9.722103E-01  8.182506E-01
     1.2000    7.572358E-01  9.473735E-01  9.261298E-01
     1.2500    7.934825E-01  9.190418E-01  1.041931E+00
     1.3000    8.133859E-01  8.881132E-01  1.157641E+00
     1.3500    8.179217E-01  8.535408E-01  1.280884E+00
     1.4000    8.050206E-01  8.163796E-01  1.403785E+00
     1.4500    7.750496E-01  7.755826E-01  1.533720E+00
     1.5000    7.292350E-01  7.323380E-01  1.662884E+00
     1.5500    6.679894E-01  6.856747E-01  1.798411E+00
     1.6000    5.956724E-01  6.368567E-01  1.932397E+00
     1.6500    5.131904E-01  5.850469E-01  2.071639E+00
     1.7000    4.272950E-01  5.315565E-01  2.207842E+00
     1.7500    3.394059E-01  4.757558E-01  2.347249E+00
     1.8000    2.572955E-01  4.190171E-01  2.480417E+00
     1.8500    1.823977E-01  3.609451E-01  2.611824E+00
     1.9000    1.215573E-01  3.031250E-01  2.728969E+00
     1.9500    7.545066E-02  2.455901E-01  2.829320E+00
     2.0000    4.802141E-02  1.906556E-01  2.886975E+00
     2.0500    3.783791E-02  1.399220E-01  2.867762E+00
     2.1000    4.569064E-02  1.014498E-01  2.674406E+00
     2.1500    6.831769E-02  8.899096E-02  2.266360E+00
     2.2000    1.012417E-01  1.080333E-01  1.927267E+00
     2.2500    1.396312E-01  1.439062E-01  1.815154E+00
     2.3000    1.773104E-01  1.841338E-01  1.843883E+00
     2.3500    2.084477E-01  2.235047E-01  1.939953E+00
     2.4000    2.281494E-01  2.599026E-01  2.070287E+00
     2.4500    2.324186E-01  2.938309E-01  2.229160E+00
     2.5000    2.179370E-01  3.224892E-01  2.399548E+00
     2.5500    1.851257E-01  3.456265E-01  2.576347E+00
     2.6000    1.364440E-01  3.632048E-01  2.756476E+00
     2.6500    7.458561E-02  3.711011E-01  2.939230E+00
     2.7000    8.475281E-03  3.730399E-01  3.118871E+00
     2.7500   -5.619483E-02  3.697665E-01  3.294158E+00
     2.8000   -1.147298E-01  3.621452E-01  3.463953E+00
     2.8500   -1.660553E-01  3.544923E-01  3.629107E+00
     2.9000   -2.077422E-01  3.446713E-01  3.788505E+00
     2.9500   -2.390633E-01  3.333282E-01  3.941370E+00
     3.0000   -2.603822E-01  3.211494E-01  4.087080E+00
     3.0500   -2.735971E-01  3.084216E-01  4.232590E+00
     3.1000   -2.787877E-01  2.958441E-01  4.371167E+00
     3.1500   -2.777244E-01  2.839342E-01  4.502862E+00
     3.2000   -2.721838E-01  2.731506E-01  4.628226E+00
     3.2500   -2.629364E-01  2.631084E-01  4.748550E+00
     3.3000   -2.517661E-01  2.547207E-01  4.864848E+00
     3.3500   -2.393323E-01  2.481111E-01  4.979196E+00
     3.4000   -2.257370E-01  2.432275E-01  5.093936E+00
     3.4500   -2.113512E-01  2.403503E-01  5.208697E+00
     3.5000   -1.950497E-01  2.388253E-01  5.327508E+00
     3.5500   -1.760066E-01  2.382454E-01  5.451954E+00
     3.6000   -1.534634E-01  2.381575E-01  5.582976E+00
     3.6500   -1.272197E-01  2.387278E-01  5.721153E+00
     3.7000   -9.672234E-02  2.390802E-01  5.866687E+00
     3.7500   -6.232050E-02  2.387915E-01  6.019145E+00
